FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,2,22,23,24,23,26,1,28,29,30,31 poly=1,32,465,4076,24133,102342,321406,761588,1373088,1883259,1947874,1490898,816941,302779,68290,7304,80,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,2,22,23,24,2,26,1,28,29,30,31 poly=1,32,465,4077,24156,102583,322928,768037,1392375,1924914,2013143,1564253,874305,332175,77042,8425,82,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,2,22,23,24,2,26,1,28,29,30,29 poly=1,32,465,4078,24182,102883,324967,777159,1420756,1988034,2114448,1680889,968404,382809,93491,10968,140,2 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,2,22,23,24,1,26,27,28,29,28,31 poly=1,32,465,4076,24133,102341,321387,761426,1372272,1880571,1941826,1481490,806957,295867,65474,6792,80,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,2,22,23,24,1,26,27,28,29,26,31 poly=1,32,465,4076,24133,102343,321427,761778,1374071,1886498,1954999,1501501,827457,309391,70642,7657,82,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,2,22,2,24,2,26,1,28,29,30,31 poly=1,32,465,4080,24227,103334,327630,787477,1448368,2040229,2184280,1745805,1008382,397447,95789,10826,89,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,2,22,2,24,2,26,1,28,29,30,29 poly=1,32,465,4081,24253,103634,329671,796635,1477030,2104602,2289118,1868996,1110502,454331,115054,13929,148,2 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,2,22,2,24,1,26,27,28,29,28,31 poly=1,32,465,4078,24181,102857,324676,775287,1413000,1966157,2071353,1621351,911658,347118,80040,8578,85,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,2,22,2,24,1,26,27,28,29,27,31 poly=1,32,465,4078,24181,102858,324696,775461,1413873,1968973,2077491,1630559,921113,353559,82754,9187,135,2 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,2,22,2,24,1,26,27,28,29,26,31 poly=1,32,465,4078,24181,102860,324735,775795,1415533,1974294,2089014,1647650,938237,364588,86792,9748,88,1 breaks=16(dist5)
FAIL n=32 alpha=17 par=0,1,2,3,4,5,4,7,4,9,4,11,4,13,3,15,16,15,18,15,20,2,22,2,24,1,26,27,28,27,26,31 poly=1,32,465,4079,24206,103137,326543,783572,1438846,2024392,2166983,1735087,1007337,401288,98696,11631,143,2 breaks=16(dist5)
